role,kind,bin,lower_bytes,upper_bytes,objects_count,canonical_bytes,population,snapshot,provenance,status
directory_map_branch,FULL,1024..4095,1024,4095,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
directory_map_branch,FULL,4096..16383,4096,16383,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
directory_map_branch,FULL,16384..65535,16384,65535,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
directory_map_branch,FULL,65536+,65536,null,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
directory_map_leaf,FULL,0..63,0,63,1,44,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
directory_map_leaf,FULL,64..255,64,255,6006,937396,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
directory_map_leaf,FULL,256..1023,256,1023,5789,2412056,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
directory_map_leaf,FULL,1024..4095,1024,4095,1283,2728894,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
directory_map_leaf,FULL,4096..16383,4096,16383,944,5162217,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
directory_map_leaf,FULL,16384..65535,16384,65535,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
directory_map_leaf,FULL,65536+,65536,null,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
directory_state,FULL,0..63,0,63,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
directory_state,FULL,64..255,64,255,13647,1337406,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
directory_state,FULL,256..1023,256,1023,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
directory_state,FULL,1024..4095,1024,4095,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
directory_state,FULL,4096..16383,4096,16383,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
directory_state,FULL,16384..65535,16384,65535,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
directory_state,FULL,65536+,65536,null,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
extent_leaf,FULL,0..63,0,63,1,44,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
extent_leaf,FULL,64..255,64,255,75085,6911420,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
extent_leaf,FULL,256..1023,256,1023,749,304996,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
extent_leaf,FULL,1024..4095,1024,4095,92,120648,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
extent_leaf,FULL,4096..16383,4096,16383,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
extent_leaf,FULL,16384..65535,16384,65535,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
extent_leaf,FULL,65536+,65536,null,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_record,FULL,0..63,0,63,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_record,FULL,64..255,64,255,89576,8778448,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_record,FULL,256..1023,256,1023,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_record,FULL,1024..4095,1024,4095,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_record,FULL,4096..16383,4096,16383,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_record,FULL,16384..65535,16384,65535,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_record,FULL,65536+,65536,null,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_table_branch,FULL,0..63,0,63,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_table_branch,FULL,64..255,64,255,1,172,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_table_branch,FULL,256..1023,256,1023,14,9512,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_table_branch,FULL,1024..4095,1024,4095,53,129820,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_table_branch,FULL,4096..16383,4096,16383,91,528932,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_table_branch,FULL,16384..65535,16384,65535,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_table_branch,FULL,65536+,65536,null,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_table_leaf,DELTA,0..63,0,63,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_table_leaf,DELTA,64..255,64,255,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_table_leaf,DELTA,256..1023,256,1023,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_table_leaf,DELTA,1024..4095,1024,4095,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_table_leaf,DELTA,4096..16383,4096,16383,4647,26640628,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_table_leaf,DELTA,16384..65535,16384,65535,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_table_leaf,DELTA,65536+,65536,null,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_table_leaf,FULL,0..63,0,63,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_table_leaf,FULL,64..255,64,255,1,108,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_table_leaf,FULL,256..1023,256,1023,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_table_leaf,FULL,1024..4095,1024,4095,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_table_leaf,FULL,4096..16383,4096,16383,5386,30100856,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_table_leaf,FULL,16384..65535,16384,65535,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
inode_table_leaf,FULL,65536+,65536,null,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
metadata_map_leaf,FULL,0..63,0,63,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
metadata_map_leaf,FULL,64..255,64,255,4,572,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
metadata_map_leaf,FULL,256..1023,256,1023,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
metadata_map_leaf,FULL,1024..4095,1024,4095,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
metadata_map_leaf,FULL,4096..16383,4096,16383,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
metadata_map_leaf,FULL,16384..65535,16384,65535,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
metadata_map_leaf,FULL,65536+,65536,null,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
namespace_root,FULL,0..63,0,63,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
namespace_root,FULL,64..255,64,255,158,19118,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
namespace_root,FULL,256..1023,256,1023,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
namespace_root,FULL,1024..4095,1024,4095,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
namespace_root,FULL,4096..16383,4096,16383,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
namespace_root,FULL,16384..65535,16384,65535,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
namespace_root,FULL,65536+,65536,null,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
payload_chunk,DELTA,0..63,0,63,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
payload_chunk,DELTA,64..255,64,255,167,31448,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
payload_chunk,DELTA,256..1023,256,1023,10528,5748568,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
payload_chunk,DELTA,1024..4095,1024,4095,12608,29623274,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
payload_chunk,DELTA,4096..16383,4096,16383,25849,232762213,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
payload_chunk,DELTA,16384..65535,16384,65535,14837,299831331,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
payload_chunk,DELTA,65536+,65536,null,0,0,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
payload_chunk,FULL,0..63,0,63,91,3889,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
payload_chunk,FULL,64..255,64,255,594,100000,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
payload_chunk,FULL,256..1023,256,1023,4774,2665973,"unique selected objects by exclusive role, representation and fixed canonical-byte bin",final pre-verification logical snapshot represented by bound inventory; phase and immutable custody checked in upstream proof,/Users/yifanxu/Ephemeral-AI-Lab/layerfs-storage-v3-runs/issue88-SP-control-census-1/roles-inventory.sqlite,derived
